bird,filename,RAlesion,PNN_remov,song_when,intro_notes,harm_stacks,FM_sweeps,other,song_length
O22,O22_42264.22010459_9_17_6_6_50.wav,0,2,preinjection,3,2,14,22,
O22,O22_42264.22098759_9_17_6_8_18.wav,0,2,preinjection,3,4,10,15,
O22,O22_42356.29552315_12_18_8_12_32.wav,0,2,day 90,3,3,9,9,
O22,O22_42356.30906102_12_18_8_35_6.wav,0,2,day 90,3,3,7,9,
O22,O22_42356.34282076_12_18_9_31_22.wav,0,2,day 90,2,4,8,12,
O22,O22_42356.34476267_12_18_9_34_36.wav,0,2,day 90,3,3,8,8,
O22,O22_42356.34704726_12_18_9_38_24.wav,0,2,day 90,2,4,10,11,
Red 2,Red2_42052.29903319_2_17_8_18_23.wav,1,2,prelesion,4,3,4,5,
Red 2,Red2_42052.29960168_2_17_8_19_20.wav,1,2,prelesion,1,1,1,2,
Red 2,Red2_42052.32291703_2_17_8_58_11.wav,1,2,prelesion,5,3,4,7,
Red 2,Red2_42052.32468858_2_17_9_1_8.wav,1,2,prelesion,5,4,6,8,
Red 2,Red2_42052.34077207_2_17_9_27_57.wav,1,2,prelesion,4,4,5,9,
Red 2,Red2_42073.30650793_3_10_8_30_50.wav,1,2,preinjection,7,0,0,27,
Red 2,Red2_42073.30732381_3_10_8_32_12.wav,1,2,preinjection,4,1,3,26,
Red 2,Red2_42073.30742134_3_10_8_32_22.wav,1,2,preinjection,0,1,1,7,
Red 2,Red2_42073.31762338_3_10_8_49_22.wav,1,2,preinjection,0,1,1,41,
Red 2,Red2_42073.32904715_3_10_9_8_24.wav,1,2,preinjection,4,0,2,22,
Red 2,Red2_42165.34505740_6_10_9_35_5.wav,1,2,day 90,5,3,3,10,
Red 2,Red2_42165.35605368_6_10_9_53_25.wav,1,2,day 90,3,4,4,10,
Red 2,Red2_42165.35790518_6_10_9_56_30.wav,1,2,day 90,3,7,7,19,
Red 2,Red2_42165.36045951_6_10_10_0_45.wav,1,2,day 90,4,1,1,4,
Red 2,Red2_42165.36451230_6_10_10_7_31.wav,1,2,day 90,4,3,4,10,
O23,O23_42239.26912226_8_23_7_28_32.wav,0,3,prelesion,7,1,1,5,
O23,O23_42239.26954027_8_23_7_29_14.wav,0,3,prelesion,5,1,1,4,
O23,O23_42239.27525699_8_23_7_38_45.wav,0,3,prelesion,6,1,1,4,
O23,O23_42239.27695673_8_23_7_41_35.wav,0,3,prelesion,6,1,1,4,
O23,O23_42239.27744995_8_23_7_42_24.wav,0,3,prelesion,5,1,1,4,
O23,O23_42268.25903153_9_21_7_11_43.wav,0,3,preinjection,5,4,6,10,
O23,O23_42268.26031477_9_21_7_13_51.wav,0,3,preinjection,5,1,2,6,
O23,O23_42268.26044145_9_21_7_14_4_song1.wav,0,3,preinjection,3,1,2,6,
O23,O23_42268.26044145_9_21_7_14_4_song2.wav,0,3,preinjection,3,1,2,6,
O23,O23_42268.26073190_9_21_7_14_33_song1.wav,0,3,preinjection,4,2,4,11,
O23,O23_42358.27175889_12_20_7_32_55.wav,0,3,day 90,5,3,3,9,
O23,O23_42358.27449680_12_20_7_37_29.wav,0,3,day 90,5,2,2,6,
O23,O23_42358.27476306_12_20_7_37_56.wav,0,3,day 90,5,1,1,4,
O23,O23_42358.27859784_12_20_7_44_19.wav,0,3,day 90,5,2,2,8,
